Project_ID,Description,Risk_Types
4707,"This is a Commercial project in Lake Thomas, Netherlands. Budget: 54.9M, Timeline: 29 months, Past Incidents: 5. Stakeholders are actively involved. tight quality control needed",Quality Issue
4708,"This is a Mixed-Use project in New Michellemouth, Micronesia. Budget: 52.6M, Timeline: 36 months, Past Incidents: 2. The team is experienced. may face permitting delays",Delay
4709,"This is a Commercial project in Ortegaborough, Tuvalu. Budget: 26.2M, Timeline: 50 months, Past Incidents: 0. The project is well-planned. involves heavy machinery unproven subcontractors","Safety,Quality Issue"
4710,"This is a Infrastructure project in North Robert, Eritrea. Budget: 1.2M, Timeline: 14 months, Past Incidents: 3. Stakeholders are actively involved. contingency budget is low",Budget Overrun
4711,"This is a Commercial project in Milesland, Kyrgyz Republic. Budget: 20.3M, Timeline: 26 months, Past Incidents: 4. The project is well-planned. uncertain cost estimates waste management challenges","Budget Overrun,Environmental"
4712,"This is a Infrastructure project in Denisefurt, Serbia. Budget: 74.1M, Timeline: 37 months, Past Incidents: 5. Stakeholders are actively involved. needs strict safety protocols dependent on weather conditions strict environmental regulations","Safety,Delay,Environmental"
4713,"This is a Infrastructure project in South Natasha, Kyrgyz Republic. Budget: 8.1M, Timeline: 7 months, Past Incidents: 4. The team is experienced. complex scheduling required",Delay
4714,"This is a Infrastructure project in Newtonside, Madagascar. Budget: 67.5M, Timeline: 28 months, Past Incidents: 4. The team is experienced. has potential for accidents",Safety
4715,"This is a Mixed-Use project in Port Anthony, Guadeloupe. Budget: 1.7M, Timeline: 39 months, Past Incidents: 1. The team is experienced. uncertain cost estimates uses new construction techniques","Budget Overrun,Quality Issue"
4716,"This is a Commercial project in Brownmouth, Andorra. Budget: 47.2M, Timeline: 38 months, Past Incidents: 5. Stakeholders are actively involved. complex scheduling required material prices are volatile tight quality control needed","Delay,Budget Overrun,Quality Issue"
4717,"This is a Commercial project in South Jeffreystad, Niger. Budget: 67.7M, Timeline: 40 months, Past Incidents: 5. The team is experienced. tight quality control needed",Quality Issue
4718,"This is a Commercial project in Jodiburgh, Philippines. Budget: 20.9M, Timeline: 36 months, Past Incidents: 0. Stakeholders are actively involved. located in a high-risk area has a tight deadline material prices are volatile","Safety,Delay,Budget Overrun"
4719,"This is a Residential project in Robertstad, Portugal. Budget: 67.3M, Timeline: 51 months, Past Incidents: 3. The project follows standard practices. currency exchange risks tight quality control needed","Budget Overrun,Quality Issue"
4720,"This is a Infrastructure project in Kristieport, Tuvalu. Budget: 4.9M, Timeline: 58 months, Past Incidents: 3. The team is experienced. involves heavy machinery may face permitting delays uses new construction techniques high carbon footprint","Safety,Delay,Quality Issue,Environmental"
4721,"This is a Industrial project in Robynbury, Liberia. Budget: 80.9M, Timeline: 33 months, Past Incidents: 4. The project follows standard practices. requires working at heights high precision required high carbon footprint","Safety,Quality Issue,Environmental"
4722,"This is a Infrastructure project in West Joseph, Guinea-Bissau. Budget: 88.6M, Timeline: 20 months, Past Incidents: 3. The project is well-planned. material prices are volatile",Budget Overrun
4723,"This is a Commercial project in Caseychester, American Samoa. Budget: 47.6M, Timeline: 32 months, Past Incidents: 1. The project is well-planned. involves heavy machinery uses new construction techniques potential for soil contamination","Safety,Quality Issue,Environmental"
4724,"This is a Mixed-Use project in New Danielton, Saint Kitts and Nevis. Budget: 97.2M, Timeline: 60 months, Past Incidents: 1. The project is well-planned. scope creep is likely",Budget Overrun
4725,"This is a Residential project in East Brittanyview, Hungary. Budget: 66.0M, Timeline: 53 months, Past Incidents: 1. Stakeholders are actively involved. unproven subcontractors",Quality Issue
4726,"This is a Residential project in Lake Amber, Chad. Budget: 84.5M, Timeline: 44 months, Past Incidents: 1. The project is well-planned. needs strict safety protocols potential supply chain disruptions currency exchange risks tight quality control needed","Safety,Delay,Budget Overrun,Quality Issue"
4727,"This is a Infrastructure project in Lake Daniellemouth, Guatemala. Budget: 9.8M, Timeline: 47 months, Past Incidents: 5. Stakeholders are actively involved. scope creep is likely",Budget Overrun
4728,"This is a Infrastructure project in Patrickshire, Guernsey. Budget: 45.2M, Timeline: 49 months, Past Incidents: 3. The project is well-planned. dependent on weather conditions waste management challenges","Delay,Environmental"
4729,"This is a Mixed-Use project in Evanshaven, Botswana. Budget: 22.8M, Timeline: 10 months, Past Incidents: 4. The project is well-planned. contingency budget is low unproven subcontractors located in a sensitive ecosystem","Budget Overrun,Quality Issue,Environmental"
4730,"This is a Infrastructure project in West Elizabeth, Cambodia. Budget: 11.6M, Timeline: 35 months, Past Incidents: 4. The project is well-planned. needs strict safety protocols uncertain cost estimates tight quality control needed located in a sensitive ecosystem","Safety,Budget Overrun,Quality Issue,Environmental"
4731,"This is a Residential project in Jennifermouth, Papua New Guinea. Budget: 24.6M, Timeline: 18 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions",Delay
4732,"This is a Infrastructure project in Courtneymouth, Turkey. Budget: 36.4M, Timeline: 56 months, Past Incidents: 5. The project is well-planned. tight quality control needed located in a sensitive ecosystem","Quality Issue,Environmental"
4733,"This is a Industrial project in Longchester, Maldives. Budget: 68.1M, Timeline: 36 months, Past Incidents: 3. The team is experienced. involves heavy machinery uses new construction techniques","Safety,Quality Issue"
4734,"This is a Residential project in Lake Ruthborough, New Zealand. Budget: 36.4M, Timeline: 32 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions",Delay
4735,"This is a Residential project in East Joseburgh, Armenia. Budget: 44.6M, Timeline: 46 months, Past Incidents: 1. The project follows standard practices. needs strict safety protocols dependent on weather conditions material prices are volatile complex design","Safety,Delay,Budget Overrun,Quality Issue"
4736,"This is a Industrial project in South Jenna, Estonia. Budget: 41.2M, Timeline: 6 months, Past Incidents: 2. The team is experienced. requires working at heights waste management challenges","Safety,Environmental"
4737,"This is a Commercial project in Erikamouth, Kyrgyz Republic. Budget: 72.2M, Timeline: 37 months, Past Incidents: 3. The team is experienced. unproven subcontractors potential for soil contamination","Quality Issue,Environmental"
4738,"This is a Industrial project in Villarrealbury, Vanuatu. Budget: 84.8M, Timeline: 60 months, Past Incidents: 0. Stakeholders are actively involved. involves heavy machinery",Safety
4739,"This is a Mixed-Use project in New Kyle, Iceland. Budget: 12.3M, Timeline: 31 months, Past Incidents: 5. Stakeholders are actively involved. complex scheduling required complex design","Delay,Quality Issue"
4740,"This is a Infrastructure project in East Henry, Kenya. Budget: 16.6M, Timeline: 20 months, Past Incidents: 1. The team is experienced. needs strict safety protocols currency exchange risks potential for soil contamination","Safety,Budget Overrun,Environmental"
4741,"This is a Infrastructure project in Port Kenneth, New Zealand. Budget: 35.7M, Timeline: 27 months, Past Incidents: 0. Stakeholders are actively involved. strict environmental regulations",Environmental
4742,"This is a Industrial project in East Dwaynemouth, Netherlands Antilles. Budget: 51.2M, Timeline: 33 months, Past Incidents: 3. Stakeholders are actively involved. potential supply chain disruptions material prices are volatile high precision required waste management challenges","Delay,Budget Overrun,Quality Issue,Environmental"
4743,"This is a Commercial project in Amyport, Tanzania. Budget: 72.8M, Timeline: 55 months, Past Incidents: 0. The project follows standard practices. has a tight deadline contingency budget is low tight quality control needed","Delay,Budget Overrun,Quality Issue"
4744,"This is a Commercial project in Smithside, Malaysia. Budget: 38.3M, Timeline: 51 months, Past Incidents: 2. The project is well-planned. complex scheduling required contingency budget is low waste management challenges","Delay,Budget Overrun,Environmental"
4745,"This is a Mixed-Use project in New Michael, Turkmenistan. Budget: 96.6M, Timeline: 31 months, Past Incidents: 0. The team is experienced. tight quality control needed",Quality Issue
4746,"This is a Mixed-Use project in North Kelli, Cameroon. Budget: 71.5M, Timeline: 46 months, Past Incidents: 4. The project is well-planned. requires working at heights",Safety
4747,"This is a Infrastructure project in Mitchellhaven, Gambia. Budget: 40.2M, Timeline: 15 months, Past Incidents: 2. The project is well-planned. waste management challenges",Environmental
4748,"This is a Mixed-Use project in Kristinburgh, Guyana. Budget: 69.7M, Timeline: 55 months, Past Incidents: 4. The team is experienced. may face permitting delays high carbon footprint","Delay,Environmental"
4749,"This is a Commercial project in Thomaston, Sierra Leone. Budget: 91.8M, Timeline: 41 months, Past Incidents: 2. Stakeholders are actively involved. needs strict safety protocols complex scheduling required scope creep is likely uses new construction techniques","Safety,Delay,Budget Overrun,Quality Issue"
4750,"This is a Residential project in Melanieburgh, Ireland. Budget: 49.6M, Timeline: 43 months, Past Incidents: 4. Stakeholders are actively involved. dependent on weather conditions uncertain cost estimates uses new construction techniques","Delay,Budget Overrun,Quality Issue"
4751,"This is a Industrial project in East Brandyview, France. Budget: 23.3M, Timeline: 57 months, Past Incidents: 3. The team is experienced. needs strict safety protocols uncertain cost estimates high precision required","Safety,Budget Overrun,Quality Issue"
4752,"This is a Infrastructure project in New Ericafurt, Pakistan. Budget: 50.3M, Timeline: 55 months, Past Incidents: 3. The project follows standard practices. involves heavy machinery may face permitting delays strict environmental regulations","Safety,Delay,Environmental"
4753,"This is a Mixed-Use project in Arellanobury, Senegal. Budget: 51.6M, Timeline: 22 months, Past Incidents: 3. The project is well-planned. dependent on weather conditions material prices are volatile uses new construction techniques","Delay,Budget Overrun,Quality Issue"
4754,"This is a Industrial project in Carrillomouth, South Georgia and the South Sandwich Islands. Budget: 77.9M, Timeline: 38 months, Past Incidents: 1. Stakeholders are actively involved. located in a high-risk area potential for soil contamination","Safety,Environmental"
4755,"This is a Infrastructure project in Shawside, Lebanon. Budget: 95.2M, Timeline: 51 months, Past Incidents: 4. The project is well-planned. has a tight deadline",Delay
4756,"This is a Residential project in West Amanda, Angola. Budget: 38.7M, Timeline: 24 months, Past Incidents: 3. Stakeholders are actively involved. located in a high-risk area scope creep is likely","Safety,Budget Overrun"
4757,"This is a Mixed-Use project in South Richardside, Egypt. Budget: 30.1M, Timeline: 28 months, Past Incidents: 2. The team is experienced. has potential for accidents",Safety
4758,"This is a Infrastructure project in West John, Georgia. Budget: 70.0M, Timeline: 43 months, Past Incidents: 4. The project follows standard practices. located in a high-risk area has a tight deadline complex design located in a sensitive ecosystem","Safety,Delay,Quality Issue,Environmental"
4759,"This is a Residential project in Port Christopher, Liechtenstein. Budget: 36.6M, Timeline: 15 months, Past Incidents: 1. The project is well-planned. involves heavy machinery uncertain cost estimates unproven subcontractors","Safety,Budget Overrun,Quality Issue"
4760,"This is a Commercial project in Lindseyland, Indonesia. Budget: 46.5M, Timeline: 27 months, Past Incidents: 2. The team is experienced. dependent on weather conditions scope creep is likely","Delay,Budget Overrun"
4761,"This is a Industrial project in Dixonland, Australia. Budget: 63.2M, Timeline: 25 months, Past Incidents: 1. The project is well-planned. has potential for accidents scope creep is likely","Safety,Budget Overrun"
4762,"This is a Commercial project in Sarahaven, Ukraine. Budget: 11.5M, Timeline: 52 months, Past Incidents: 3. Stakeholders are actively involved. currency exchange risks",Budget Overrun
4763,"This is a Mixed-Use project in Kingfurt, Suriname. Budget: 13.0M, Timeline: 54 months, Past Incidents: 2. The team is experienced. tight quality control needed",Quality Issue
4764,"This is a Mixed-Use project in New Gloria, Cameroon. Budget: 83.3M, Timeline: 39 months, Past Incidents: 1. The team is experienced. complex scheduling required",Delay
4765,"This is a Commercial project in South Ashley, Saint Lucia. Budget: 50.1M, Timeline: 8 months, Past Incidents: 4. The project is well-planned. has potential for accidents",Safety
4766,"This is a Infrastructure project in Port Sheilashire, Comoros. Budget: 19.3M, Timeline: 56 months, Past Incidents: 5. Stakeholders are actively involved. needs strict safety protocols has a tight deadline contingency budget is low located in a sensitive ecosystem","Safety,Delay,Budget Overrun,Environmental"
4767,"This is a Industrial project in Christophertown, Yemen. Budget: 73.9M, Timeline: 48 months, Past Incidents: 4. The project follows standard practices. waste management challenges",Environmental
4768,"This is a Industrial project in Christianstad, Senegal. Budget: 36.1M, Timeline: 42 months, Past Incidents: 4. The team is experienced. involves heavy machinery complex design","Safety,Quality Issue"
4769,"This is a Infrastructure project in Abigailland, Belize. Budget: 17.3M, Timeline: 57 months, Past Incidents: 5. The team is experienced. waste management challenges",Environmental
4770,"This is a Infrastructure project in Vargasmouth, Poland. Budget: 45.3M, Timeline: 50 months, Past Incidents: 2. The project is well-planned. requires working at heights contingency budget is low","Safety,Budget Overrun"
4771,"This is a Mixed-Use project in Port Hunterborough, Rwanda. Budget: 90.8M, Timeline: 41 months, Past Incidents: 4. The team is experienced. has potential for accidents",Safety
4772,"This is a Mixed-Use project in West Cory, Libyan Arab Jamahiriya. Budget: 1.7M, Timeline: 32 months, Past Incidents: 2. The team is experienced. material prices are volatile",Budget Overrun
4773,"This is a Industrial project in North Kathybury, Wallis and Futuna. Budget: 70.9M, Timeline: 39 months, Past Incidents: 3. The project is well-planned. high carbon footprint",Environmental
4774,"This is a Industrial project in Christinefort, Micronesia. Budget: 87.3M, Timeline: 23 months, Past Incidents: 4. Stakeholders are actively involved. located in a high-risk area contingency budget is low high precision required waste management challenges","Safety,Budget Overrun,Quality Issue,Environmental"
4775,"This is a Industrial project in Mooreton, Dominica. Budget: 75.9M, Timeline: 29 months, Past Incidents: 1. Stakeholders are actively involved. high precision required",Quality Issue
4776,"This is a Mixed-Use project in North Deanna, Costa Rica. Budget: 56.4M, Timeline: 12 months, Past Incidents: 5. The team is experienced. has potential for accidents contingency budget is low high precision required high carbon footprint","Safety,Budget Overrun,Quality Issue,Environmental"
4777,"This is a Residential project in Lake Ashley, Luxembourg. Budget: 32.8M, Timeline: 21 months, Past Incidents: 5. The project is well-planned. located in a high-risk area material prices are volatile","Safety,Budget Overrun"
4778,"This is a Residential project in Obrienmouth, Malaysia. Budget: 26.5M, Timeline: 23 months, Past Incidents: 3. The project follows standard practices. has potential for accidents complex scheduling required","Safety,Delay"
4779,"This is a Industrial project in Lake Amanda, Guadeloupe. Budget: 23.9M, Timeline: 55 months, Past Incidents: 1. The team is experienced. scope creep is likely",Budget Overrun
4780,"This is a Residential project in Jasminemouth, Sri Lanka. Budget: 31.4M, Timeline: 21 months, Past Incidents: 5. The project is well-planned. potential supply chain disruptions complex design","Delay,Quality Issue"
4781,"This is a Commercial project in Lake Amberland, Russian Federation. Budget: 65.4M, Timeline: 50 months, Past Incidents: 2. Stakeholders are actively involved. has potential for accidents potential supply chain disruptions","Safety,Delay"
4782,"This is a Industrial project in Lake Timothy, China. Budget: 43.9M, Timeline: 42 months, Past Incidents: 4. The team is experienced. may face permitting delays material prices are volatile uses new construction techniques high carbon footprint","Delay,Budget Overrun,Quality Issue,Environmental"
4783,"This is a Industrial project in Keithshire, Canada. Budget: 61.7M, Timeline: 53 months, Past Incidents: 1. The team is experienced. contingency budget is low complex design","Budget Overrun,Quality Issue"
4784,"This is a Industrial project in Colleenview, Zimbabwe. Budget: 22.6M, Timeline: 42 months, Past Incidents: 3. The team is experienced. involves heavy machinery uncertain cost estimates","Safety,Budget Overrun"
4785,"This is a Industrial project in Christopherside, Denmark. Budget: 47.4M, Timeline: 45 months, Past Incidents: 2. Stakeholders are actively involved. currency exchange risks",Budget Overrun
4786,"This is a Industrial project in Timothystad, Spain. Budget: 32.0M, Timeline: 8 months, Past Incidents: 0. The project is well-planned. involves heavy machinery high precision required","Safety,Quality Issue"
4787,"This is a Infrastructure project in Dominiqueton, Philippines. Budget: 23.9M, Timeline: 45 months, Past Incidents: 1. The team is experienced. high carbon footprint",Environmental
4788,"This is a Commercial project in New Catherinefort, Nigeria. Budget: 51.7M, Timeline: 10 months, Past Incidents: 3. The project follows standard practices. scope creep is likely",Budget Overrun
4789,"This is a Mixed-Use project in Sherryberg, Cambodia. Budget: 95.0M, Timeline: 37 months, Past Incidents: 2. Stakeholders are actively involved. needs strict safety protocols has a tight deadline contingency budget is low","Safety,Delay,Budget Overrun"
4790,"This is a Industrial project in Lake Joshua, Christmas Island. Budget: 49.9M, Timeline: 8 months, Past Incidents: 1. The team is experienced. has potential for accidents",Safety
4791,"This is a Industrial project in South Laurie, Andorra. Budget: 47.6M, Timeline: 45 months, Past Incidents: 2. The project is well-planned. involves heavy machinery complex scheduling required material prices are volatile","Safety,Delay,Budget Overrun"
4792,"This is a Mixed-Use project in North Monicaland, Cyprus. Budget: 24.4M, Timeline: 40 months, Past Incidents: 5. The team is experienced. uncertain cost estimates",Budget Overrun
4793,"This is a Residential project in West Antonio, Syrian Arab Republic. Budget: 8.1M, Timeline: 40 months, Past Incidents: 3. Stakeholders are actively involved. requires working at heights dependent on weather conditions","Safety,Delay"
4794,"This is a Infrastructure project in North Danielchester, Monaco. Budget: 83.6M, Timeline: 55 months, Past Incidents: 1. The project is well-planned. complex scheduling required",Delay
4795,"This is a Industrial project in New Juliestad, Yemen. Budget: 64.1M, Timeline: 58 months, Past Incidents: 3. The team is experienced. high carbon footprint",Environmental
4796,"This is a Industrial project in South Ronnie, Ireland. Budget: 63.9M, Timeline: 50 months, Past Incidents: 4. The project is well-planned. needs strict safety protocols complex scheduling required scope creep is likely complex design","Safety,Delay,Budget Overrun,Quality Issue"
4797,"This is a Commercial project in Mcknightport, Bangladesh. Budget: 91.4M, Timeline: 18 months, Past Incidents: 0. Stakeholders are actively involved. currency exchange risks",Budget Overrun
4798,"This is a Mixed-Use project in Mathewshire, Chile. Budget: 5.1M, Timeline: 38 months, Past Incidents: 2. The project is well-planned. located in a high-risk area contingency budget is low","Safety,Budget Overrun"
4799,"This is a Industrial project in Victorfort, Philippines. Budget: 40.8M, Timeline: 42 months, Past Incidents: 5. Stakeholders are actively involved. may face permitting delays",Delay
4800,"This is a Industrial project in Dunnfort, Mali. Budget: 31.2M, Timeline: 42 months, Past Incidents: 0. The project is well-planned. located in a sensitive ecosystem",Environmental
4801,"This is a Residential project in Travismouth, Turkmenistan. Budget: 68.4M, Timeline: 56 months, Past Incidents: 3. Stakeholders are actively involved. located in a high-risk area dependent on weather conditions","Safety,Delay"
4802,"This is a Commercial project in Jennifershire, Portugal. Budget: 75.8M, Timeline: 45 months, Past Incidents: 0. The team is experienced. has potential for accidents",Safety
4803,"This is a Mixed-Use project in Elizabethbury, Qatar. Budget: 39.1M, Timeline: 10 months, Past Incidents: 2. The project is well-planned. tight quality control needed",Quality Issue
4804,"This is a Residential project in North Kimville, Mali. Budget: 42.4M, Timeline: 52 months, Past Incidents: 3. The project is well-planned. involves heavy machinery currency exchange risks","Safety,Budget Overrun"
4805,"This is a Infrastructure project in South Patrick, Cocos (Keeling) Islands. Budget: 44.4M, Timeline: 21 months, Past Incidents: 3. Stakeholders are actively involved. has potential for accidents dependent on weather conditions uncertain cost estimates high carbon footprint","Safety,Delay,Budget Overrun,Environmental"
4806,"This is a Infrastructure project in Wrightbury, Central African Republic. Budget: 15.7M, Timeline: 36 months, Past Incidents: 3. Stakeholders are actively involved. involves heavy machinery",Safety
4807,"This is a Infrastructure project in Torresburgh, Somalia. Budget: 24.9M, Timeline: 49 months, Past Incidents: 1. Stakeholders are actively involved. dependent on weather conditions currency exchange risks strict environmental regulations","Delay,Budget Overrun,Environmental"
4808,"This is a Mixed-Use project in North Davidberg, Iran. Budget: 17.6M, Timeline: 57 months, Past Incidents: 2. The project follows standard practices. tight quality control needed high carbon footprint","Quality Issue,Environmental"
4809,"This is a Residential project in Richardsonmouth, Isle of Man. Budget: 3.3M, Timeline: 30 months, Past Incidents: 4. Stakeholders are actively involved. contingency budget is low",Budget Overrun
4810,"This is a Commercial project in Ricefort, Bermuda. Budget: 5.6M, Timeline: 39 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions contingency budget is low high carbon footprint","Delay,Budget Overrun,Environmental"
4811,"This is a Industrial project in Hoodchester, Argentina. Budget: 69.1M, Timeline: 30 months, Past Incidents: 1. The team is experienced. potential supply chain disruptions contingency budget is low potential for soil contamination","Delay,Budget Overrun,Environmental"
4812,"This is a Commercial project in Johnsonfort, Saint Lucia. Budget: 25.9M, Timeline: 44 months, Past Incidents: 4. The team is experienced. tight quality control needed",Quality Issue
4813,"This is a Residential project in Parrishberg, Argentina. Budget: 97.7M, Timeline: 46 months, Past Incidents: 2. Stakeholders are actively involved. uncertain cost estimates",Budget Overrun
4814,"This is a Residential project in Rossport, Somalia. Budget: 30.7M, Timeline: 16 months, Past Incidents: 0. The project follows standard practices. has a tight deadline unproven subcontractors","Delay,Quality Issue"
4815,"This is a Commercial project in West Jessica, Honduras. Budget: 58.4M, Timeline: 30 months, Past Incidents: 5. The project is well-planned. dependent on weather conditions contingency budget is low high carbon footprint","Delay,Budget Overrun,Environmental"
4816,"This is a Residential project in Garciatown, Reunion. Budget: 49.4M, Timeline: 42 months, Past Incidents: 3. The team is experienced. complex scheduling required",Delay
4817,"This is a Commercial project in North Davidfort, Gabon. Budget: 27.2M, Timeline: 33 months, Past Incidents: 0. Stakeholders are actively involved. material prices are volatile",Budget Overrun
4818,"This is a Infrastructure project in Jackiefort, Sao Tome and Principe. Budget: 71.8M, Timeline: 39 months, Past Incidents: 2. The project follows standard practices. located in a high-risk area located in a sensitive ecosystem","Safety,Environmental"
4819,"This is a Industrial project in Harpertown, Saint Kitts and Nevis. Budget: 85.3M, Timeline: 60 months, Past Incidents: 2. The project follows standard practices. currency exchange risks uses new construction techniques strict environmental regulations","Budget Overrun,Quality Issue,Environmental"
4820,"This is a Mixed-Use project in Johnsonland, Argentina. Budget: 61.4M, Timeline: 45 months, Past Incidents: 0. The team is experienced. currency exchange risks uses new construction techniques","Budget Overrun,Quality Issue"
4821,"This is a Mixed-Use project in Port Lindsayberg, Serbia. Budget: 78.5M, Timeline: 14 months, Past Incidents: 0. The project follows standard practices. needs strict safety protocols currency exchange risks waste management challenges","Safety,Budget Overrun,Environmental"
4822,"This is a Mixed-Use project in Lake Debra, Palau. Budget: 21.6M, Timeline: 47 months, Past Incidents: 1. The team is experienced. unproven subcontractors",Quality Issue
4823,"This is a Mixed-Use project in Brandimouth, Georgia. Budget: 25.7M, Timeline: 56 months, Past Incidents: 1. The team is experienced. involves heavy machinery",Safety
4824,"This is a Residential project in Martinezview, Georgia. Budget: 78.4M, Timeline: 23 months, Past Incidents: 4. The team is experienced. involves heavy machinery uses new construction techniques potential for soil contamination","Safety,Quality Issue,Environmental"
4825,"This is a Residential project in Damonton, Brazil. Budget: 17.2M, Timeline: 32 months, Past Incidents: 4. The project is well-planned. contingency budget is low complex design","Budget Overrun,Quality Issue"
4826,"This is a Industrial project in New Sherryland, Turkey. Budget: 6.9M, Timeline: 28 months, Past Incidents: 3. The team is experienced. high precision required",Quality Issue
4827,"This is a Mixed-Use project in East Laura, Holy See (Vatican City State). Budget: 39.7M, Timeline: 49 months, Past Incidents: 3. Stakeholders are actively involved. located in a high-risk area complex scheduling required unproven subcontractors","Safety,Delay,Quality Issue"
4828,"This is a Commercial project in Jenniferberg, Germany. Budget: 29.9M, Timeline: 33 months, Past Incidents: 4. The project is well-planned. located in a high-risk area dependent on weather conditions scope creep is likely","Safety,Delay,Budget Overrun"
4829,"This is a Infrastructure project in North Victorberg, Saint Vincent and the Grenadines. Budget: 14.1M, Timeline: 42 months, Past Incidents: 3. Stakeholders are actively involved. requires working at heights may face permitting delays","Safety,Delay"
4830,"This is a Industrial project in Hartmanmouth, Madagascar. Budget: 97.8M, Timeline: 23 months, Past Incidents: 3. Stakeholders are actively involved. has potential for accidents currency exchange risks unproven subcontractors potential for soil contamination","Safety,Budget Overrun,Quality Issue,Environmental"
4831,"This is a Commercial project in Michaelville, Cocos (Keeling) Islands. Budget: 73.5M, Timeline: 25 months, Past Incidents: 0. The project follows standard practices. has potential for accidents complex design","Safety,Quality Issue"
4832,"This is a Mixed-Use project in Brianborough, Mauritania. Budget: 50.6M, Timeline: 38 months, Past Incidents: 2. The project follows standard practices. potential supply chain disruptions tight quality control needed potential for soil contamination","Delay,Quality Issue,Environmental"
4833,"This is a Mixed-Use project in Brooksberg, Poland. Budget: 81.8M, Timeline: 43 months, Past Incidents: 4. The team is experienced. requires working at heights currency exchange risks","Safety,Budget Overrun"
4834,"This is a Residential project in Ashleyview, Ecuador. Budget: 71.8M, Timeline: 56 months, Past Incidents: 1. The team is experienced. needs strict safety protocols",Safety
4835,"This is a Commercial project in Paulborough, Western Sahara. Budget: 44.8M, Timeline: 39 months, Past Incidents: 1. The project follows standard practices. requires working at heights material prices are volatile potential for soil contamination","Safety,Budget Overrun,Environmental"
4836,"This is a Commercial project in New James, China. Budget: 69.7M, Timeline: 40 months, Past Incidents: 0. The project follows standard practices. potential supply chain disruptions",Delay
4837,"This is a Infrastructure project in West Kimberly, Tanzania. Budget: 65.5M, Timeline: 48 months, Past Incidents: 1. The project is well-planned. needs strict safety protocols complex scheduling required","Safety,Delay"
4838,"This is a Residential project in Suzannefurt, Netherlands. Budget: 36.5M, Timeline: 17 months, Past Incidents: 0. The project is well-planned. involves heavy machinery dependent on weather conditions scope creep is likely potential for soil contamination","Safety,Delay,Budget Overrun,Environmental"
4839,"This is a Industrial project in North Pam, Brazil. Budget: 30.9M, Timeline: 34 months, Past Incidents: 0. The project follows standard practices. potential supply chain disruptions uses new construction techniques located in a sensitive ecosystem","Delay,Quality Issue,Environmental"
4840,"This is a Industrial project in Halemouth, Yemen. Budget: 13.9M, Timeline: 54 months, Past Incidents: 4. The project follows standard practices. waste management challenges",Environmental
4841,"This is a Mixed-Use project in Richardfort, Comoros. Budget: 36.7M, Timeline: 39 months, Past Incidents: 4. The project follows standard practices. has a tight deadline contingency budget is low","Delay,Budget Overrun"
4842,"This is a Mixed-Use project in South Christopherfurt, Singapore. Budget: 25.8M, Timeline: 55 months, Past Incidents: 5. Stakeholders are actively involved. has potential for accidents complex design","Safety,Quality Issue"
4843,"This is a Infrastructure project in Alvaradobury, Gibraltar. Budget: 30.5M, Timeline: 42 months, Past Incidents: 3. The project is well-planned. has potential for accidents",Safety
4844,"This is a Mixed-Use project in South Valerie, Pakistan. Budget: 38.0M, Timeline: 29 months, Past Incidents: 1. The project is well-planned. located in a sensitive ecosystem",Environmental
4845,"This is a Mixed-Use project in Kennethfort, Morocco. Budget: 14.5M, Timeline: 44 months, Past Incidents: 4. The team is experienced. complex scheduling required",Delay
4846,"This is a Industrial project in New Patriciaview, Saint Kitts and Nevis. Budget: 97.0M, Timeline: 42 months, Past Incidents: 0. The project is well-planned. has a tight deadline",Delay
4847,"This is a Commercial project in Robinsonview, Equatorial Guinea. Budget: 18.4M, Timeline: 56 months, Past Incidents: 2. The project is well-planned. uncertain cost estimates",Budget Overrun
4848,"This is a Residential project in Port Thomasfurt, China. Budget: 17.0M, Timeline: 55 months, Past Incidents: 4. The project follows standard practices. needs strict safety protocols has a tight deadline","Safety,Delay"
4849,"This is a Residential project in Santiagofurt, Antarctica (the territory South of 60 deg S). Budget: 87.2M, Timeline: 48 months, Past Incidents: 1. The project is well-planned. unproven subcontractors",Quality Issue
4850,"This is a Infrastructure project in Bryanton, Congo. Budget: 96.3M, Timeline: 53 months, Past Incidents: 3. Stakeholders are actively involved. requires working at heights material prices are volatile","Safety,Budget Overrun"
4851,"This is a Industrial project in Kristenfort, Micronesia. Budget: 30.7M, Timeline: 54 months, Past Incidents: 3. The team is experienced. tight quality control needed potential for soil contamination","Quality Issue,Environmental"
4852,"This is a Mixed-Use project in Joannaside, Tajikistan. Budget: 64.3M, Timeline: 36 months, Past Incidents: 0. Stakeholders are actively involved. material prices are volatile strict environmental regulations","Budget Overrun,Environmental"
4853,"This is a Infrastructure project in Ashleyland, Nigeria. Budget: 41.4M, Timeline: 55 months, Past Incidents: 3. The project follows standard practices. needs strict safety protocols has a tight deadline complex design potential for soil contamination","Safety,Delay,Quality Issue,Environmental"
4854,"This is a Commercial project in Wilsonbury, Cyprus. Budget: 76.8M, Timeline: 55 months, Past Incidents: 1. Stakeholders are actively involved. material prices are volatile",Budget Overrun
4855,"This is a Commercial project in Lindaburgh, Belarus. Budget: 22.2M, Timeline: 8 months, Past Incidents: 4. Stakeholders are actively involved. complex scheduling required scope creep is likely","Delay,Budget Overrun"
